,name,company,year,Price,kms_driven,fuel_type
0,Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
1,Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel
2,Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000,28000,Petrol
3,EcoSport Titanium 1.5L TDCi,Ford,2014,575000,36000,Diesel
4,Figo,Ford,2012,175000,41000,Diesel
5,Eon,Hyundai,2013,190000,25000,Petrol
6,EcoSport Ambiente 1.5L TDCi,Ford,2016,830000,24530,Diesel
7,Suzuki Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol
8,Fabia Classic 1.2 MPI,Skoda,2010,182000,60000,Petrol
9,Suzuki Stingray VXi,Maruti,2015,315000,30000,Petrol
10,Elite i20 Magna 1.2,Hyundai,2014,415000,32000,Petrol
11,Scorpio SLE BS IV,Mahindra,2015,320000,48660,Diesel
12,A8,Audi,2017,1000000,4000,Petrol
13,Q7,Audi,2014,500000,16934,Diesel
14,Scorpio S10,Mahindra,2016,350000,43000,Diesel
15,Suzuki Alto 800,Maruti,2014,160000,35550,Petrol
16,Scorpio S10,Mahindra,2016,310000,39522,Diesel
17,Suzuki Alto 800 Vxi,Maruti,2015,75000,39000,Petrol
18,i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
19,Suzuki Alto 800 Lx,Maruti,2017,190000,72000,Petrol
20,Suzuki Vitara Brezza ZDi,Maruti,2016,290000,15975,Diesel
21,Suzuki Alto LX,Maruti,2008,95000,70000,Petrol
22,Bolero DI,Mahindra,2017,180000,23452,Diesel
23,Suzuki Swift Dzire ZDi,Maruti,2014,385000,35522,Diesel
24,Scorpio S10 4WD,Mahindra,2015,250000,48508,Diesel
25,Suzuki Swift Vdi BSIII,Maruti,2017,180000,15487,Petrol
26,Suzuki Wagon R VXi BS III,Maruti,2013,105000,39000,Petrol
27,Suzuki Wagon R VXi Minor,Maruti,2013,105000,39000,Petrol
28,Innova 2.0 G 8 STR BS IV,Toyota,2012,650000,82000,Diesel
29,Lodgy 85 PS RXL,Renault,2018,689999,20000,Diesel
30,Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,448000,68000,Diesel
31,Suzuki Baleno Delta 1.2,Maruti,2017,549000,32000,Diesel
32,Duster 110 PS RxZ Diesel Plus,Renault,2012,501000,38000,Diesel
33,Duster 85 PS RxE Diesel,Renault,2013,489999,27000,Diesel
34,City 1.5 S MT,Honda,2011,280000,33000,Petrol
35,Suzuki Dzire,Maruti,2013,349999,46000,Diesel
36,Amaze,Honda,2013,284999,46000,Diesel
37,Amaze 1.5 SX i DTEC,Honda,2015,345000,36000,Diesel
38,City,Honda,2015,499999,55000,Petrol
39,Redi GO S,Datsun,2017,235000,16000,Petrol
40,Suzuki SX4 ZXI MT,Maruti,2010,249999,36000,Petrol
41,Pajero Sport Limited Edition,Mitsubishi,2015,1475000,47000,Diesel
42,Scorpio S10,Mahindra,2015,395000,35000,Diesel
